time,open,high,low,close,volume,ticker,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0,target,sentiment_score
2021-02-25,32450,32540,31790,32500,1927500,FPT,70.17303845365447,1557.3593437334566,73.23449365887836,1484.1248500745785,31935.769057507,32465.8,32995.830942493,3.2651648349524627,0.5322622674056926,0,0.094619529607191
2021-02-26,31990,32580,31950,32500,1936000,FPT,70.17303845365447,1514.7101497844524,24.46823976789915,1490.2419100165532,31950.487158527943,32429.8,32909.11284147205,2.9560024512766288,0.5732298343858324,1,-0.1472125096561488
2021-03-01,32759,33260,32759,33220,2078100,FPT,72.51029472064423,1521.4697824479445,24.982297945112805,1496.4874845028316,31683.382089387535,32522.0,33360.61791061246,5.157234552687177,0.91616091855839,0,-0.0247306387021949
2021-03-02,33650,33650,32800,33220,1821700,FPT,72.51029472064424,1509.4271039655175,10.351695570148877,1499.0754083953689,31773.69625119374,32722.0,33670.30374880626,5.79612339591871,0.7625740964468867,0,0.0634246990192275
2021-03-03,33260,33310,33030,33150,1599400,FPT,71.87523943739886,1477.2064629440683,-17.495156361040472,1494.7016193051088,32152.70267215938,32918.0,33683.29732784062,4.649719471660616,0.6515750751767396,-1,0.0176583590708334
2021-03-04,33150,33180,32040,32380,2901500,FPT,65.1191138546981,1373.70360786522,-96.7984091519113,1470.5020170171313,32058.82337197453,32894.0,33729.176628025474,5.077987645318128,0.1922806609092962,0,0.0270336930307394
2021-03-05,32220,32420,31790,32380,2507500,FPT,65.1191138546981,1276.9568854203644,-154.83610527741348,1431.792990697778,31973.5626067594,32870.0,33766.4373932406,5.45444109060298,0.2266959166949386,0,-0.0994487111101137
2021-03-08,32420,32640,32170,32330,1656600,FPT,64.6613810576145,1182.6173520470984,-199.3405109205437,1381.957862967642,31789.625354966127,32692.0,33594.37464503387,5.5204615504335806,0.299418123064389,-1,-0.0853716605683792
2021-03-09,31990,32299,31790,31990,2182400,FPT,61.49587512712866,1068.1049842811844,-251.0823029491662,1319.1872872303506,31594.1079880642,32446.0,33297.8920119358,5.251137347813603,0.2323604438056613,1,0.0099646036697395
2021-03-10,32380,33060,31990,32540,2602400,FPT,64.52160771383404,1010.0898245297576,-247.27797016047447,1257.367794690232,31918.389349252226,32324.0,32729.61065074777,2.509656297164796,0.7662651974273696,1,-0.0136023248342202
2021-03-11,32640,32900,32450,32710,1477800,FPT,65.42597357591814,966.6866101999476,-232.5449475922278,1199.2315577921754,31852.78495925744,32390.0,32927.21504074256,3.3171660434860013,0.7978323164199614,0,-0.0666646680385513
2021-03-12,32850,32900,32540,32640,2062800,FPT,64.69469524906711,916.0808256372802,-226.52058572391616,1142.6014113611964,31861.0697115832,32442.0,33022.9302884168,3.581346947887301,0.6704163166802737,0,-0.1388857292409795
2021-03-15,32680,33060,32450,32640,1760900,FPT,64.69469524906711,865.9927514000083,-221.2869279689505,1087.2796793689588,31916.70109824722,32504.0,33091.29890175278,3.6137023243464177,0.6157843132296955,1,0.199426305414166
2021-03-16,32850,34760,32680,34540,5111000,FPT,73.88370952737117,968.4480464973058,-95.06530629732242,1063.5133527946282,31303.58484571728,33014.0,34724.415154282724,10.361756553478669,0.9460905284249368,0,0.0325934371410703
2021-03-17,34760,34760,34130,34470,1603200,FPT,73.12853908770215,1032.0987985365282,-25.13164340648018,1057.2304419430084,31381.13893494377,33400.0,35418.861065056226,12.088988413510334,0.7650009003889032,0,0.045277876285332
2021-03-18,34540,34540,34130,34540,1807500,FPT,73.42110111564845,1075.7898572733975,14.847532264311212,1060.9423250090863,31709.4203151835,33766.0,35822.579684816505,12.181364004125468,0.6881765160169463,-1,0.0502078705045948
